ZipCode,Adult Population
60601,14029
60602,1046
60603,1077
60604,766
60605,25954
60606,3084
60607,26197
60608,64771
60609,45031
60610,36143
60611,31078
60612,26025
60613,44598
60614,61612
60615,34631
60616,46309
60617,61294
60618,74081
60619,48362
60620,52882
60621,20872
60622,45174
60623,58736
60624,24919
60625,63435
60626,41512
60628,50492
60629,78922
60630,45299
60631,23605
60632,64071
60633,9976
60634,59113
60636,24046
60637,36044
60638,44311
60639,65556
60640,60243
60641,54817
60642,17874
60643,38423
60644,34932
60645,34648
60646,22025
60647,71476
60649,35883
60651,46152
60652,32158
60653,23526
60654,18042
60655,21667
60656,22805
60657,61811
60659,31216
60660,38667
60661,9340
60666,0
60707,33923
60827,20243
